Date : 2022-01-22 21:26:38
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app
Total : 130 files,  13849 codes, 1599 comments, 1109 blanks, all 16557 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          7 |      7,262 |          0 |          6 |      7,268 |
| Dart       |         92 |      5,890 |      1,400 |        972 |      8,262 |
| Markdown   |          4 |        230 |          0 |         24 |        254 |
| XML        |         11 |        153 |         37 |          4 |        194 |
| JavaScript |          2 |         90 |          1 |         16 |        107 |
| Groovy     |          4 |         90 |          2 |         22 |        114 |
| YAML       |          4 |         64 |        139 |         36 |        239 |
| Python     |          2 |         49 |         17 |         25 |         91 |
| Swift      |          1 |         12 |          2 |          2 |         16 |
| Properties |          2 |          8 |          1 |          1 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                     |        130 |     13,849 |      1,599 |      1,109 |     16,557 |
| .vscodecounter                                                                                                                                                        |          2 |        212 |          0 |         13 |        225 |
| .vscodecounter/2022-01-06_15-25-13                                                                                                                                    |          2 |        212 |          0 |         13 |        225 |
| android                                                                                                                                                               |         16 |        234 |         38 |         26 |        298 |
| android/app                                                                                                                                                           |         11 |        188 |         37 |         15 |        240 |
| android/app/src                                                                                                                                                       |          9 |         82 |         35 |          3 |        120 |
| android/app/src/debug                                                                                                                                                 |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                                                  |          7 |         74 |         29 |          1 |        104 |
| android/app/src/main/res                                                                                                                                              |          6 |         44 |         18 |          0 |         62 |
| android/app/src/main/res/drawable                                                                                                                                     |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night                                                                                                                               |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night-v21                                                                                                                           |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-v21                                                                                                                                 |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/values                                                                                                                                       |          1 |         10 |          9 |          0 |         19 |
