Date : 2022-01-22 21:26:38
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app
Total : 130 files,  13849 codes, 1599 comments, 1109 blanks, all 16557 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| android/app/src/main/res/values-night                                                                                                                                 |          1 |         10 |          9 |          0 |         19 |
| android/app/src/profile                                                                                                                                               |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                                                |          1 |          5 |          1 |          1 |          7 |
| functions                                                                                                                                                             |          4 |      6,872 |          1 |         18 |      6,891 |
| ios                                                                                                                                                                   |          8 |        492 |          4 |          9 |        505 |
| ios/Runner                                                                                                                                                            |          8 |        492 |          4 |          9 |        505 |
| ios/Runner/Assets.xcassets                                                                                                                                            |          4 |        408 |          0 |          5 |        413 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                         |          1 |        330 |          0 |          1 |        331 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                                                                                  |          1 |         52 |          0 |          1 |         53 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                                 |          2 |         71 |          2 |          1 |         74 |
| lib                                                                                                                                                                   |         91 |      5,876 |      1,390 |        964 |      8,230 |
| lib/src                                                                                                                                                               |         90 |      5,827 |      1,367 |        951 |      8,145 |
| lib/src/config                                                                                                                                                        |          5 |        104 |         69 |         20 |        193 |
| lib/src/models                                                                                                                                                        |         10 |      1,168 |        170 |        207 |      1,545 |
| lib/src/providers                                                                                                                                                     |         17 |        191 |        289 |         68 |        548 |
| lib/src/providers/authentication_providers                                                                                                                            |          3 |         17 |         51 |         11 |         79 |
| lib/src/providers/next_class_providers                                                                                                                                |          3 |         43 |         51 |         12 |        106 |
| lib/src/services                                                                                                                                                      |          4 |        951 |         89 |        227 |      1,267 |
| lib/src/services/authentication                                                                                                                                       |          1 |         87 |         17 |         22 |        126 |
| lib/src/services/repositories                                                                                                                                         |          3 |        864 |         72 |        205 |      1,141 |
| lib/src/ui                                                                                                                                                            |         54 |      3,413 |        750 |        429 |      4,592 |
| lib/src/ui/components                                                                                                                                                 |          8 |        532 |        128 |         56 |        716 |
| lib/src/ui/views                                                                                                                                                      |         46 |      2,881 |        622 |        373 |      3,876 |
| lib/src/ui/views/authentication_views                                                                                                                                 |          6 |        324 |         34 |         35 |        393 |
| lib/src/ui/views/authentication_views/components                                                                                                                      |          2 |         38 |          0 |          8 |         46 |
| lib/src/ui/views/authentication_views/sign_in_view                                                                                                                    |          2 |        172 |         17 |         15 |        204 |
| lib/src/ui/views/authentication_views/sign_in_view/components                                                                                                         |          1 |         25 |          0 |          3 |         28 |
| lib/src/ui/views/authentication_views/sign_up_view                                                                                                                    |          2 |        114 |         17 |         12 |        143 |
| lib/src/ui/views/authentication_views/sign_up_view/components                                                                                                         |          1 |         18 |          0 |          3 |         21 |
| lib/src/ui/views/home_view                                                                                                                                            |          5 |        546 |         91 |         48 |        685 |
| lib/src/ui/views/home_view/components                                                                                                                                 |          4 |        312 |         71 |         32 |        415 |
| lib/src/ui/views/journal_entries_view                                                                                                                                 |          6 |        409 |         68 |         46 |        523 |
| lib/src/ui/views/journal_entries_view/components                                                                                                                      |          5 |        377 |         51 |         38 |        466 |
| lib/src/ui/views/journal_entry_view                                                                                                                                   |          8 |        565 |        115 |         95 |        775 |
| lib/src/ui/views/journal_entry_view/components                                                                                                                        |          7 |        493 |         98 |         81 |        672 |
| lib/src/ui/views/journal_entry_view/components/tag_text_input                                                                                                         |          3 |        316 |         30 |         56 |        402 |
| lib/src/ui/views/journal_view                                                                                                                                         |          4 |        234 |         68 |         32 |        334 |
| lib/src/ui/views/journal_view/components                                                                                                                              |          3 |        148 |         51 |         20 |        219 |
| lib/src/ui/views/no_student_data_view                                                                                                                                 |          2 |         48 |         17 |          9 |         74 |
| lib/src/ui/views/no_student_data_view/components                                                                                                                      |          1 |         30 |          0 |          3 |         33 |
| lib/src/ui/views/profile_view                                                                                                                                         |          9 |        340 |        144 |         53 |        537 |
| lib/src/ui/views/profile_view/components                                                                                                                              |          7 |        245 |        102 |         37 |        384 |
| lib/src/ui/views/schedule_view                                                                                                                                        |          2 |        124 |         34 |         14 |        172 |
| lib/src/ui/views/schedule_view/components                                                                                                                             |          1 |         11 |         17 |          4 |         32 |
| lib/src/ui/views/upcoming_assignments_view                                                                                                                            |          2 |        117 |         17 |         14 |        148 |
| lib/src/ui/views/upcoming_assignments_view/components                                                                                                                 |          1 |         15 |          0 |          3 |         18 |
| scripts                                                                                                                                                               |          2 |         49 |         17 |         25 |         91 |
| test                                                                                                                                                                  |          1 |         14 |         10 |          8 |         32 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2022-01-06_15-25-13/details.md                                               | Markdown   |        129 |          0 |          6 |        135 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/.vscodecounter/2022-01-06_15-25-13/results.md                                               | Markdown   |         83 |          0 |          7 |         90 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/README.md                                                                                   | Markdown   |         15 |          0 |          9 |         24 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/analysis_options.yaml                                                                       | YAML       |          3 |         23 |          3 |         29 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/build.gradle                                                                    | Groovy     |         52 |          2 |         12 |         66 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/google-services.json                                                            | JSON       |         54 |          0 |          0 |         54 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/debug/AndroidManifest.xml                                                   | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/AndroidManifest.xml                                                    | XML        |         30 |         11 |          1 |         42 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable-night-v21/launch_background.xml                           | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable-night/launch_background.xml                               | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable-v21/launch_background.xml                                 | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable/launch_background.xml                                     | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/values-night/styles.xml                                            | XML        |         10 |          9 |          0 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/values/styles.xml                                                  | XML        |         10 |          9 |          0 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/profile/AndroidManifest.xml                                                 | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/build.gradle                                                                        | Groovy     |         29 |          0 |          5 |         34 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/gradle.properties                                                                   | Properties |          3 |          0 |          0 |          3 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/gradle/wrapper/gradle-wrapper.properties                                            | Properties |          5 |          1 |          1 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/settings.gradle                                                                     | Groovy     |          8 |          0 |          4 |         12 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/settings_aar.gradle                                                                 | Groovy     |          1 |          0 |          1 |          2 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/firebase.json                                                                               | JSON       |         21 |          0 |          1 |         22 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/flutter_launcher_icons.yaml                                                                 | YAML       |          4 |          0 |          1 |          5 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/flutter_native_splash.yaml                                                                  | YAML       |          3 |         60 |         10 |         73 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/functions/.eslintrc.js                                                                      | JavaScript |         12 |          0 |          1 |         13 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/functions/index.js                                                                          | JavaScript |         78 |          1 |         15 |         94 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/functions/package-lock.json                                                                 | JSON       |      6,755 |          0 |          1 |      6,756 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/functions/package.json                                                                      | JSON       |         27 |          0 |          1 |         28 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/AppDelegate.swift                                                                | Swift      |         12 |          2 |          2 |         16 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                 | JSON       |        330 |          0 |          1 |        331 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json                          | JSON       |         52 |          0 |          1 |         53 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                               | JSON       |         23 |          0 |          1 |         24 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                   | Markdown   |          3 |          0 |          2 |          5 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Base.lproj/LaunchScreen.storyboard                                               | XML        |         43 |          1 |          0 |         44 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Base.lproj/Main.storyboard                                                       | XML        |         28 |          1 |          1 |         30 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Runner-Bridging-Header.h                                                         | C++        |          1 |          0 |          1 |          2 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/main.dart                                                                               | Dart       |         49 |         23 |         13 |         85 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/authentication_exceptions.dart                                               | Dart       |         41 |         17 |          5 |         63 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/bottom_navigation_bar.dart                                                   | Dart       |         41 |         17 |          5 |         63 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/constants.dart                                                               | Dart       |          1 |         18 |          2 |         21 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/encryption_contract.dart                                                     | Dart       |          4 |         17 |          2 |         23 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/studentvue_exceptions.dart                                                   | Dart       |         17 |          0 |          6 |         23 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/assignment.dart                                                              | Dart       |        136 |         17 |         18 |        171 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/block.dart                                                                   | Dart       |         60 |         17 |         17 |         94 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/class.dart                                                                   | Dart       |        152 |         17 |         29 |        198 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/current_day.dart                                                             | Dart       |        136 |         17 |         19 |        172 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/event.dart                                                                   | Dart       |         60 |         17 |         17 |         94 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/grade.dart                                                                   | Dart       |         60 |         17 |         15 |         92 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/journal_entry.dart                                                           | Dart       |        103 |         17 |         16 |        136 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/school.dart                                                                  | Dart       |        112 |         17 |         17 |        146 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/staff_member.dart                                                            | Dart       |         93 |         17 |         15 |        125 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/student.dart                                                                 | Dart       |        256 |         17 |         44 |        317 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/all_students_stream_provider.dart                                         | Dart       |          7 |         17 |          4 |         28 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/authentication_providers/authentication_service_provider.dart             | Dart       |          6 |         17 |          4 |         27 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/authentication_providers/authentication_stream_provider.dart              | Dart       |          6 |         17 |          4 |         27 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/authentication_providers/firebaseauth_provider.dart                       | Dart       |          5 |         17 |          3 |         25 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/journal_entries_stream_provider.dart                                      | Dart       |         15 |         17 |          4 |         36 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/next_class_providers/next_block_stream_provider.dart                      | Dart       |         14 |         17 |          4 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/next_class_providers/next_class_stream_provider.dart                      | Dart       |         14 |         17 |          4 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/next_class_providers/next_class_teacher_stream_provider.dart              | Dart       |         15 |         17 |          4 |         36 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_blocks_future_provider.dart                                        | Dart       |         14 |         17 |          4 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_future_provider.dart                                               | Dart       |          6 |         17 |          4 |         27 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_repository_provider.dart                                           | Dart       |         13 |         17 |          4 |         34 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/school_stream_provider.dart                                               | Dart       |         14 |         17 |          5 |         36 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_assignments_provider.dart                                         | Dart       |         15 |         17 |          4 |         36 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_classes_for_the_day_stream_provider.dart                          | Dart       |         14 |         17 |          4 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_classes_stream_provider.dart                                      | Dart       |         14 |         17 |          4 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_repository_provider.dart                                          | Dart       |          5 |         17 |          4 |         26 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/providers/student_stream_provider.dart                                              | Dart       |         14 |         17 |          4 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/authentication/authentication_repository.dart                              | Dart       |         87 |         17 |         22 |        126 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/school_repository.dart                                        | Dart       |        116 |         17 |         39 |        172 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/student_repository.dart                                       | Dart       |        382 |         26 |         93 |        501 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/studentvue_repository.dart                                    | Dart       |        366 |         29 |         73 |        468 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/assignment_card.dart                                                  | Dart       |         76 |         17 |          8 |        101 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/class_card.dart                                                       | Dart       |         95 |         17 |         10 |        122 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/error_text.dart                                                       | Dart       |         14 |         17 |          4 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/show_sign_in_with_studentvue_bottomsheet.dart                         | Dart       |        173 |          0 |         11 |        184 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/sign_in_with_studentvue_card.dart                                     | Dart       |         46 |         17 |          6 |         69 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/sign_out_button.dart                                                  | Dart       |         19 |         17 |          5 |         41 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/something_went_wrong.dart                                             | Dart       |         31 |         17 |          5 |         53 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/student_id_card.dart                                                  | Dart       |         78 |         26 |          7 |        111 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/components/email_text_input.dart                      | Dart       |         19 |          0 |          4 |         23 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/components/password_text_input.dart                   | Dart       |         19 |          0 |          4 |         23 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_in_view/components/sign_in_view_header.dart      | Dart       |         25 |          0 |          3 |         28 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_in_view/sign_in_view.dart                        | Dart       |        147 |         17 |         12 |        176 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_up_view/components/sign_up_view_header.dart      | Dart       |         18 |          0 |          3 |         21 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_up_view/sign_up_view.dart                        | Dart       |         96 |         17 |          9 |        122 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_wrapper.dart                                                | Dart       |         69 |         17 |         13 |         99 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/current_view.dart                                                          | Dart       |        105 |         17 |         14 |        136 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/home_view/components/class_card.dart                                       | Dart       |         96 |         20 |         11 |        127 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/home_view/components/date_card.dart                                        | Dart       |         34 |         17 |          8 |         59 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/home_view/components/home_view_header.dart                                 | Dart       |         35 |         17 |          7 |         59 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/home_view/components/next_class_card.dart                                  | Dart       |        147 |         17 |          6 |        170 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/home_view/home_view.dart                                                   | Dart       |        234 |         20 |         16 |        270 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entries_view/components/journal_entries_list_view.dart             | Dart       |         98 |          0 |         11 |        109 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entries_view/components/journal_entries_view_header.dart           | Dart       |         11 |         17 |          4 |         32 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entries_view/components/journal_entry_card.dart                    | Dart       |         98 |         17 |          9 |        124 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entries_view/components/journal_entry_tag_card.dart                | Dart       |         72 |         17 |         10 |         99 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entries_view/components/show_tag_rename_bottom_sheet.dart          | Dart       |         98 |          0 |          4 |        102 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entries_view/journal_entries_view.dart                             | Dart       |         32 |         17 |          8 |         57 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/components/journal_entry_view_header.dart               | Dart       |         41 |         17 |          5 |         63 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/components/summary_text_field.dart                      | Dart       |         28 |         17 |          5 |         50 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/components/tag_text_field.dart                          | Dart       |         78 |         17 |         10 |        105 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/components/tag_text_input/tag_styler.dart               | Dart       |         25 |          8 |         10 |         43 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/components/tag_text_input/tag_text_input.dart           | Dart       |        256 |         11 |         32 |        299 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/components/tag_text_input/tag_text_input_styler.dart    | Dart       |         35 |         11 |         14 |         60 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/components/title_text_field.dart                        | Dart       |         30 |         17 |          5 |         52 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view/journal_entry_view.dart                                 | Dart       |         72 |         17 |         14 |        103 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_view/components/horizontal_bar_chart.dart                          | Dart       |         85 |         17 |          9 |        111 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_view/components/journal_view_header.dart                           | Dart       |         26 |         17 |          6 |         49 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_view/components/view_card.dart                                     | Dart       |         37 |         17 |          5 |         59 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_view/journal_view.dart                                             | Dart       |         86 |         17 |         12 |        115 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/no_student_data_view/components/no_student_data_view_header.dart           | Dart       |         30 |          0 |          3 |         33 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/no_student_data_view/no_student_data_view.dart                             | Dart       |         18 |         17 |          6 |         41 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/profile_view/components/profile_card.dart                                  | Dart       |         58 |         17 |          7 |         82 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/profile_view/components/profile_view_header.dart                           | Dart       |         13 |         17 |          4 |         34 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/profile_view/components/refresh_student_data_button.dart                   | Dart       |         37 |          0 |          4 |         41 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/profile_view/components/schedule_card.dart                                 | Dart       |         42 |         17 |          6 |         65 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/profile_view/components/student_id_card.dart                               | Dart       |         46 |         17 |          6 |         69 |
