Date : 2021-08-03 10:39:21
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app
Total : 77 files,  5447 codes, 207 comments, 726 blanks, all 6380 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| filename                                                                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/README.md                                                                          | Markdown   |         21 |          0 |          9 |         30 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/build.gradle                                                           | Groovy     |         52 |          2 |         12 |         66 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/google-services.json                                                   | JSON       |         54 |          0 |          0 |         54 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/debug/AndroidManifest.xml                                          | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/AndroidManifest.xml                                           | XML        |         30 |         11 |          1 |         42 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable-v21/launch_background.xml                        | XML        |          4 |          7 |          2 |         13 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/drawable/launch_background.xml                            | XML        |          4 |          7 |          2 |         13 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/values-night/styles.xml                                   | XML        |          9 |          9 |          1 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/main/res/values/styles.xml                                         | XML        |          9 |          9 |          1 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/app/src/profile/AndroidManifest.xml                                        | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/build.gradle                                                               | Groovy     |         29 |          0 |          5 |         34 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/gradle.properties                                                          | Properties |          3 |          0 |          0 |          3 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/gradle/wrapper/gradle-wrapper.properties                                   | Properties |          5 |          1 |          1 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/settings.gradle                                                            | Groovy     |          8 |          0 |          4 |         12 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/android/settings_aar.gradle                                                        | Groovy     |          1 |          0 |          1 |          2 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/AppDelegate.swift                                                       | Swift      |         12 |          2 |          2 |         16 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                        | JSON       |          1 |          0 |          0 |          1 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                      | JSON       |         23 |          0 |          1 |         24 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                          | Markdown   |          3 |          0 |          2 |          5 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Base.lproj/LaunchScreen.storyboard                                      | XML        |         36 |          1 |          1 |         38 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Base.lproj/Main.storyboard                                              | XML        |         25 |          1 |          1 |         27 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/ios/Runner/Runner-Bridging-Header.h                                                | C++        |          1 |          0 |          1 |          2 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/launcher_icons.yaml                                                                | YAML       |          4 |          0 |          1 |          5 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/main.dart                                                                      | Dart       |         40 |          1 |          7 |         48 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/authentication_exceptions.dart                                      | Dart       |         42 |          0 |          4 |         46 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/bottom_navigation_bar.dart                                          | Dart       |         54 |          0 |          4 |         58 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/config/constants.dart                                                      | Dart       |          1 |          1 |          1 |          3 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/assignment.dart                                                     | Dart       |        136 |          0 |         16 |        152 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/block.dart                                                          | Dart       |         60 |          0 |         16 |         76 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/class.dart                                                          | Dart       |        159 |          0 |         27 |        186 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/current_day.dart                                                    | Dart       |        141 |          0 |         17 |        158 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/event.dart                                                          | Dart       |         60 |          0 |         16 |         76 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/grade.dart                                                          | Dart       |         60 |          0 |         14 |         74 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/journal_entry.dart                                                  | Dart       |        104 |          0 |         14 |        118 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/school.dart                                                         | Dart       |        112 |          0 |         16 |        128 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/staff_member.dart                                                   | Dart       |         93 |          0 |         14 |        107 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/models/student.dart                                                        | Dart       |        256 |          0 |         42 |        298 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/authentication/authentication_service.dart                        | Dart       |        149 |          0 |         39 |        188 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/authentication/authentication_wrapper.dart                        | Dart       |         44 |          0 |          6 |         50 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/chat_repository.dart                                 | Dart       |        434 |         68 |         77 |        579 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/school_repository.dart                               | Dart       |         59 |          0 |         21 |         80 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/student_repository.dart                              | Dart       |        298 |          5 |         68 |        371 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/services/repositories/studentvue_repository.dart                           | Dart       |        151 |         22 |         33 |        206 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/authentication_providers/authentication_service_provider.dart | Dart       |          6 |          0 |          2 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/authentication_providers/authentication_stream_provider.dart  | Dart       |          6 |          0 |          2 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/authentication_providers/firebaseauth_provider.dart           | Dart       |          5 |          0 |          2 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/journal_entries_stream_provider.dart                          | Dart       |          7 |          0 |          2 |          9 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/next_class_providers/next_block_stream_provider.dart          | Dart       |         14 |          0 |          2 |         16 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/next_class_providers/next_class_stream_provider.dart          | Dart       |         14 |          0 |          2 |         16 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/next_class_providers/next_class_teacher_stream_provider.dart  | Dart       |         15 |          0 |          2 |         17 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/school_future_provider.dart                                   | Dart       |          6 |          0 |          2 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/school_repository_provider.dart                               | Dart       |         13 |          0 |          3 |         16 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/school_stream_provider.dart                                   | Dart       |         14 |          0 |          3 |         17 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/student_assignments_provider.dart                             | Dart       |         15 |          0 |          3 |         18 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/student_classes_future_provider.dart                          | Dart       |         15 |          0 |          3 |         18 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/student_repository_provider.dart                              | Dart       |          5 |          0 |          2 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/providers/student_stream_provider.dart                                  | Dart       |         14 |          0 |          3 |         17 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/assignment_card.dart                                  | Dart       |         95 |          0 |          6 |        101 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/class_card.dart                                       | Dart       |         81 |          0 |          6 |         87 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/journal_entry_card.dart                               | Dart       |         81 |          0 |          4 |         85 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/journal_entry_tag_card.dart                           | Dart       |        139 |          0 |          9 |        148 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/sign_in_with_studentvue_card.dart                     | Dart       |        166 |          0 |          6 |        172 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/something_went_wrong.dart                             | Dart       |         32 |          0 |          3 |         35 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/components/student_id_card.dart                                  | Dart       |         81 |          0 |          5 |         86 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_in_view.dart                            | Dart       |        187 |          0 |         14 |        201 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/authentication_views/sign_up_view.dart                            | Dart       |        119 |          0 |          9 |        128 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/current_view.dart                                                 | Dart       |         57 |          0 |         10 |         67 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/home_view.dart                                                    | Dart       |        476 |          3 |         20 |        499 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entries_view.dart                                         | Dart       |         90 |          0 |         11 |        101 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_entry_view.dart                                           | Dart       |        224 |          0 |         17 |        241 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/journal_view.dart                                                 | Dart       |        139 |          0 |         12 |        151 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/no_student_data_view.dart                                         | Dart       |         46 |          0 |          5 |         51 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/profile_view.dart                                                 | Dart       |        198 |          1 |         13 |        212 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/schedule_view.dart                                                | Dart       |        108 |          0 |          8 |        116 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/student_id_card_view.dart                                         | Dart       |         58 |          0 |          6 |         64 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/lib/src/ui/views/upcoming_assignments_view.dart                                    | Dart       |         83 |          0 |          8 |         91 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app/pubspec.yaml                                                                       | YAML       |         43 |         50 |         19 |        112 |
| Total                                                                                                                                                        |            |      5,447 |        207 |        726 |      6,380 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
